epoch,step,ce_adv,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,11.30561637878418,0.984375,0.0,11.30561637878418,0.01,1784205955.7421606
0,100,2.8296377564420796,0.424427599009901,0.13660272277227722,2.8296377564420796,0.010000000000000007,1784206040.3226683
0,200,2.4661015414479954,0.41472325870646765,0.17817164179104478,2.4661015414479954,0.010000000000000005,1784206124.6708045
0,300,2.3062083400365125,0.43685112126245845,0.20387769933554817,2.3062083400365125,0.009999999999999933,1784206208.8129165
1,0,1.9127180576324463,0.5234375,0.28125,1.9127180576324463,0.01,1784206277.9346774
1,100,1.854465156498522,0.5603341584158416,0.30561571782178215,1.854465156498522,0.010000000000000007,1784206361.8695388
1,200,1.833429077371436,0.5724113805970149,0.3113728233830846,1.833429077371436,0.010000000000000005,1784206445.8677983
1,300,1.8098992299399899,0.5824335548172758,0.31787271594684385,1.8098992299399899,0.009999999999999933,1784206529.873634
2,0,1.6395210027694702,0.6015625,0.3515625,1.6395210027694702,0.01,1784206605.3178637
2,100,1.7199496644558292,0.6292543316831684,0.3537283415841584,1.7199496644558292,0.010000000000000007,1784206689.3340552
2,200,1.7112678230105347,0.6388370646766169,0.35362251243781095,1.7112678230105347,0.010000000000000005,1784206773.4827769
2,300,1.7007809909079161,0.6464649086378738,0.35662375415282394,1.7007809909079161,0.009999999999999933,1784206857.6705472
3,0,1.6264545917510986,0.6484375,0.4140625,1.6264545917510986,0.01,1784206926.9519444
3,100,1.6411404397227976,0.6726485148514851,0.3772431930693069,1.6411404397227976,0.010000000000000007,1784207011.1298943
3,200,1.6371127805899626,0.6796097636815921,0.378925684079602,1.6371127805899626,0.010000000000000005,1784207095.3391287
3,300,1.6319944157552877,0.6806218853820598,0.38021698504983387,1.6319944157552877,0.009999999999999933,1784207179.5304615
4,0,1.54347825050354,0.7265625,0.421875,1.54347825050354,0.01,1784207255.3010502
4,100,1.583461331849051,0.7041305693069307,0.39836014851485146,1.583461331849051,0.010000000000000007,1784207339.4814422
