epoch,step,ce_adv,residual_loss,align_loss,sae_fvu,sae_dead_frac,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,11.024747848510742,0.00020221226441208273,9.482895984547213e-05,0.06587312370538712,0.98388671875,1.0,0.0,11.025044441223145,0.01,1784311236.849527
0,100,2.8755786112039394,0.004678613085260541,0.000289383519335424,0.38804132015545767,0.9607368695853961,0.4508818069306931,0.1155631188118812,2.8805466028723385,0.010000000000000007,1784311333.6498013
0,200,2.488827413587428,0.0034344434401944782,0.0001823215500902806,0.2915497584759596,0.956982664800995,0.4497823383084577,0.1673662935323383,2.492444174206672,0.010000000000000005,1784311429.8832495
0,300,2.314452080631573,0.0028425315250928803,0.00013439860060884335,0.24580000985747952,0.9564634811046512,0.4772373338870432,0.19925768272425248,2.3174290074858557,0.009999999999999933,1784311525.388965
1,0,1.9258060455322266,0.0015561970649287105,2.7826568839373067e-05,0.1516174077987671,0.959716796875,0.6171875,0.2890625,1.9273899793624878,0.01,1784311604.1582308
1,100,1.822133508059058,0.0014574650552879908,2.3604590211053248e-05,0.15077885454243953,0.9599053411200495,0.6001701732673267,0.31010210396039606,1.8236145748950467,0.010000000000000007,1784311700.1743119
1,200,1.7995245355871778,0.0014423839284561167,2.2233310159914362e-05,0.15323581068373437,0.9606484180659204,0.6092195273631841,0.3167366293532338,1.8009891521871386,0.010000000000000005,1784311796.41137
1,300,1.7810520258456766,0.0014166603014925093,2.101620068356698e-05,0.1534602298491025,0.9610607869601329,0.6188486295681063,0.3235828488372093,1.7824897037392042,0.009999999999999933,1784311892.6424847
2,0,1.695421576499939,0.0013447736855596304,1.8215490854345262e-05,0.14731037616729736,0.9619140625,0.6796875,0.34375,1.6967846155166626,0.01,1784311979.1310742
2,100,1.686823807140388,0.0012619211638143452,1.6759882746915573e-05,0.15293834572381312,0.9624990331064357,0.6615872524752475,0.35945235148514854,1.6881024872902597,0.010000000000000007,1784312075.3385663
2,200,1.678919555535957,0.001246701091393569,1.6273207801536932e-05,0.15419909654565117,0.9632744480721394,0.6663168532338308,0.3618625621890547,1.680182529919183,0.010000000000000005,1784312171.6339066
