epoch,step,ce_adv,align_loss,sae_recon_loss,sae_fvu,sae_dead_frac,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,11.021383285522461,9.469240467296913e-05,0.00020221226441208273,0.20522567629814148,0.98388671875,1.0,0.0,11.021477699279785,0.01,1784322408.095799
0,100,2.8643035888671875,0.00019099483591225458,0.0004172579782708354,0.04247862064639236,0.976584255105198,0.45699257425742573,0.12151918316831684,2.864494576312528,0.010000000000000007,1784322498.9849844
0,200,2.4852117560989226,0.00013334313310527554,0.00031965756211117075,0.0291015147208352,0.9805562033582089,0.44290267412935325,0.1709421641791045,2.485345094951231,0.010000000000000005,1784322589.4483411
0,300,2.3151549211768216,0.00010105192992957874,0.0002799391132729914,0.0246826826758757,0.9819157495847176,0.46672549833887045,0.19977678571428573,2.3152559682776364,0.009999999999999933,1784322679.4270074
1,0,1.926196575164795,2.538326953072101e-05,0.0001968966971617192,0.01650308631360531,0.98486328125,0.6015625,0.28125,1.9262219667434692,0.01,1784322753.1777637
1,100,1.8309118299200984,2.0382447689938783e-05,0.00019577049677914913,0.017546218663158985,0.9847738435952971,0.5943688118811881,0.30623452970297027,1.8309322135283215,0.010000000000000007,1784322843.3854594
1,200,1.8079369673088415,1.9219260378742175e-05,0.0001932501232405587,0.017534019583048514,0.9848292716106966,0.6039334577114428,0.3130052860696517,1.807956182541539,0.010000000000000005,1784322934.1195984
1,300,1.7889823509609184,1.810675209082208e-05,0.0001911334462341639,0.017540717423209715,0.9848989695805648,0.614124792358804,0.31922238372093026,1.7890004525548993,0.009999999999999933,1784323025.0096455
2,0,1.7026886940002441,1.4961932720325422e-05,0.00018117210129275918,0.016432350501418114,0.9853515625,0.6796875,0.3515625,1.7027037143707275,0.01,1784323106.8601205
2,100,1.6932828650616183,1.4387930353015943e-05,0.00018212428007569937,0.018160243822944046,0.9852234491027227,0.6572555693069307,0.3571318069306931,1.693297255157244,0.010000000000000007,1784323197.302642
2,200,1.6849613628577238,1.4015694070612926e-05,0.0001805695846001502,0.018276095557123867,0.9851839435634329,0.6626632462686567,0.35980254975124376,1.6849753791420021,0.010000000000000005,1784323287.7878063
2,300,1.6772023958225186,1.3811473636874431e-05,0.000179326486767214,0.018373264909483666,0.9851690653550664,0.6660610465116279,0.3621522009966777,1.6772162078622963,0.009999999999999933,1784323378.378188
3,0,1.7150113582611084,1.2625614544958808e-05,0.00017801093054004014,0.020018212497234344,0.9853515625,0.6796875,0.328125,1.7150239944458008,0.01,1784323452.8799064
3,100,1.6284157521653884,1.2356875285518928e-05,0.00017384981614362337,0.019088425221714642,0.9853950727103961,0.6889696782178217,0.3786355198019802,1.6284281109819319,0.010000000000000007,1784323543.4488175
3,200,1.6217765778451416,1.2331346294391479e-05,0.00017257032295357695,0.01920384786726527,0.9853697819496269,0.6908815298507462,0.38312344527363185,1.6217889097792593,0.010000000000000005,1784323634.0493631
3,300,1.6160384198755917,1.2208160982016463e-05,0.000171043238329138,0.019206305866770173,0.9853880619289868,0.6929505813953488,0.3843957641196013,1.6160506283326006,0.009999999999999933,1784323724.705785
4,0,1.4604933261871338,1.1800781976489816e-05,0.0001646825112402439,0.019456462934613228,0.985595703125,0.75,0.46875,1.4605051279067993,0.01,1784323806.6180308
4,100,1.5707464371577349,1.155311196325243e-05,0.0001648018664811821,0.01976705403389907,0.9855086827042079,0.7026608910891089,0.4021503712871287,1.5707579862953414,0.010000000000000007,1784323897.341898
