epoch,step,ce_clean,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,2.288644552230835,0.2109375,0.2109375,2.288644552230835,0.1,1784202549.0767205
0,100,1.876132036199664,0.3036819306930693,0.3036819306930693,1.876132036199664,0.0999999999999998,1784202561.389558
0,200,1.717509053832856,0.36337842039800994,0.36337842039800994,1.717509053832856,0.10000000000000007,1784202573.8214731
0,300,1.6038622523463049,0.40661337209302323,0.40661337209302323,1.6038622523463049,0.10000000000000052,1784202586.4135058
1,0,1.185788631439209,0.5234375,0.5234375,1.185788631439209,0.1,1784202597.1226587
1,100,1.1265391872660948,0.5997060643564357,0.5997060643564357,1.1265391872660948,0.0999999999999998,1784202610.0893211
1,200,1.0835346876092218,0.613300684079602,0.613300684079602,1.0835346876092218,0.10000000000000007,1784202623.2383013
1,300,1.0438967923389322,0.6270764119601329,0.6270764119601329,1.0438967923389322,0.10000000000000052,1784202636.602172
2,0,0.8032420873641968,0.7109375,0.7109375,0.8032420873641968,0.1,1784202647.9112988
2,100,0.841832706243685,0.705677599009901,0.705677599009901,0.841832706243685,0.0999999999999998,1784202661.615674
2,200,0.8253362083909523,0.7071672885572139,0.7071672885572139,0.8253362083909523,0.10000000000000007,1784202675.5831525
2,300,0.8037675284468059,0.7151422342192691,0.7151422342192691,0.8037675284468059,0.10000000000000052,1784202689.550473
3,0,0.7217676639556885,0.78125,0.78125,0.7217676639556885,0.1,1784202700.979136
3,100,0.6877307419729705,0.7657023514851485,0.7657023514851485,0.6877307419729705,0.0999999999999998,1784202714.5627527
3,200,0.681937641913618,0.7674906716417911,0.7674906716417911,0.681937641913618,0.10000000000000007,1784202728.1180484
3,300,0.6720761488442405,0.7704007475083057,0.7704007475083057,0.6720761488442405,0.10000000000000052,1784202741.7180774
4,0,0.6765309572219849,0.75,0.75,0.6765309572219849,0.1,1784202753.1505888
4,100,0.6044061995378815,0.7860457920792079,0.7860457920792079,0.6044061995378815,0.0999999999999998,1784202766.9260032
4,200,0.6002222407813096,0.7892179726368159,0.7892179726368159,0.6002222407813096,0.10000000000000007,1784202780.6931744
4,300,0.5904610035229363,0.7926962209302325,0.7926962209302325,0.5904610035229363,0.10000000000000052,1784202794.393837
5,0,0.4727182686328888,0.8671875,0.8671875,0.4727182686328888,0.1,1784202812.3629894
5,100,0.5397339666833972,0.8107209158415841,0.8107209158415841,0.5397339666833972,0.0999999999999998,1784202826.0623667
5,200,0.5406828200935725,0.8114116915422885,0.8114116915422885,0.5406828200935725,0.10000000000000007,1784202839.7643008
5,300,0.5390295885330023,0.8135122508305648,0.8135122508305648,0.5390295885330023,0.10000000000000052,1784202853.4365942
6,0,0.6009571552276611,0.796875,0.796875,0.6009571552276611,0.1,1784202864.8587947
