epoch,step,ce_adv,align_loss,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,11.305843353271484,0.0022271648049354553,0.984375,0.0,11.308070182800293,0.01,1784226648.126343
0,100,2.8396042809628024,0.0035992462872665855,0.42883663366336633,0.1344368811881188,2.8432035280926393,0.010000000000000007,1784226732.6578703
0,200,2.469681570185951,0.0025915205446813273,0.42821050995024873,0.17727767412935325,2.472273087620142,0.010000000000000005,1784226817.1107283
0,300,2.3049886155366104,0.0019950450810316046,0.4521127491694352,0.20356623754152825,2.3069836590377197,0.009999999999999933,1784226901.4744675
1,0,1.883238434791565,0.00047046347754076123,0.5546875,0.265625,1.8837089538574219,0.01,1784226970.8694544
1,100,1.8369228320546669,0.00046691898311866393,0.5768873762376238,0.30863242574257427,1.8373897524163274,0.010000000000000007,1784227055.125842
1,200,1.8154915915199774,0.0004368236910178794,0.5887360074626866,0.3172030472636816,1.8159284158725644,0.010000000000000005,1784227139.3957427
1,300,1.7926664689054521,0.000410104250114572,0.5982402408637874,0.32334925249169433,1.7930765746043766,0.009999999999999933,1784227223.6876125
2,0,1.6264369487762451,0.0002871431643143296,0.640625,0.34375,1.626724123954773,0.01,1784227299.431867
2,100,1.704885712944635,0.00031125636299896876,0.6427134900990099,0.3562809405940594,1.7051969636784923,0.010000000000000007,1784227383.6556354
2,200,1.697089086717634,0.00029740560258592743,0.6536847014925373,0.35556592039800994,1.6973864895787405,0.010000000000000005,1784227467.9514291
2,300,1.686798776106977,0.0002927237085493721,0.6606104651162791,0.35955668604651164,1.6870914970917559,0.009999999999999933,1784227552.2015996
3,0,1.591627836227417,0.000261972047155723,0.6875,0.40625,1.5918898582458496,0.01,1784227621.456033
3,100,1.628428361203411,0.0002596444985714031,0.6840191831683168,0.38095606435643564,1.6286880049375023,0.010000000000000007,1784227705.780362
3,200,1.6246656481899433,0.0002556495688188432,0.6890935945273632,0.3814521144278607,1.6249212969594926,0.010000000000000005,1784227790.1988497
3,300,1.6201021908921658,0.0002495417646670009,0.6902512458471761,0.38325373754152825,1.6203517319752132,0.009999999999999933,1784227874.6552062
4,0,1.532409906387329,0.00028454148559831083,0.734375,0.4140625,1.5326944589614868,0.01,1784227950.5846882
4,100,1.5726112705646176,0.00023459463142836006,0.7085396039603961,0.4006033415841584,1.5728458661844236,0.010000000000000007,1784228034.929476
4,200,1.5738503826198293,0.0002311139908475588,0.7074004975124378,0.40127487562189057,1.574081497405892,0.010000000000000005,1784228119.3604023
4,300,1.567723771662411,0.0002269518357257597,0.7093023255813954,0.4031613372093023,1.5679507247633315,0.009999999999999933,1784228203.8235977
5,0,1.5479950904846191,0.00019111015717498958,0.7109375,0.3515625,1.548186182975769,0.01,1784228273.4912128
5,100,1.546361793385874,0.0002064301997151152,0.7168935643564357,0.4158415841584158,1.546568223745516,0.010000000000000007,1784228357.942343
