epoch,step,ce_clean,trades_kl,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,0.030568154528737068,8.193353652954102,0.984375,0.2578125,49.19068908691406,0.01,1784215720.2576807
0,100,1.9686049085921875,0.20624177706529304,0.32185952970297027,0.2802444306930693,3.206055527866477,0.010000000000000007,1784215814.7101426
0,200,1.9155186446689403,0.11396947248713739,0.35125155472636815,0.3109841417910448,2.5993354575550973,0.010000000000000005,1784215908.7550457
0,300,1.872214890156325,0.08386386705383014,0.3700166112956811,0.3287219684385382,2.3753980778380486,0.009999999999999933,1784216002.733143
1,0,1.7685225009918213,0.02430662326514721,0.453125,0.3203125,1.9143621921539307,0.01,1784216080.2974138
1,100,1.6710553310885288,0.027534929648189262,0.45699257425742573,0.4119740099009901,1.8362649077236062,0.010000000000000007,1784216174.636805
1,200,1.650909490846283,0.028526061024535355,0.46509639303482586,0.4193097014925373,1.8220658569193597,0.010000000000000005,1784216269.0592263
1,300,1.6284091741935756,0.029552038437207277,0.47679609634551495,0.4262873754152824,1.8057214057326714,0.009999999999999933,1784216363.197391
2,0,1.4861104488372803,0.03190918266773224,0.5234375,0.46875,1.677565574645996,0.01,1784216446.802408
2,100,1.5318156185716685,0.03337762757471883,0.5313273514851485,0.46217512376237624,1.732081384942083,0.010000000000000007,1784216540.944503
2,200,1.5139819348036354,0.0342575112329935,0.5415500621890548,0.46944962686567165,1.7195270043700488,0.010000000000000005,1784216635.358146
2,300,1.4973018311978972,0.03497475918469041,0.550249169435216,0.47531665282392027,1.7071503876055594,0.009999999999999933,1784216729.8335893
3,0,1.4212918281555176,0.036600928753614426,0.59375,0.5,1.6408973932266235,0.01,1784216807.477603
3,100,1.4258395728498403,0.03796255758198181,0.5813737623762376,0.4980662128712871,1.65361491406318,0.010000000000000007,1784216901.8445387
3,200,1.4104438427075818,0.03848295663460274,0.5934001865671642,0.5059468283582089,1.6413415812734347,0.010000000000000005,1784216996.2574518
3,300,1.4015737950207783,0.0389429206690717,0.596812707641196,0.5069040697674418,1.6352313194560053,0.009999999999999933,1784217090.6417906
4,0,1.3186315298080444,0.0433378741145134,0.6640625,0.5546875,1.5786588191986084,0.01,1784217174.8131902
4,100,1.3528691223352263,0.040421856401285323,0.6219059405940595,0.5266862623762376,1.5954002555054012,0.010000000000000007,1784217269.1558516
4,200,1.3487900074441634,0.040718108971617116,0.6219682835820896,0.5286458333333334,1.5930986582343258,0.010000000000000005,1784217363.6147087
4,300,1.342402889879043,0.04080323618759348,0.6243511212624585,0.5310164036544851,1.5872223044550695,0.009999999999999933,1784217458.076952
5,0,1.3408384323120117,0.039274636656045914,0.5625,0.515625,1.5764862298965454,0.01,1784217535.8695114
5,100,1.3101298006454316,0.04195043647495827,0.6342048267326733,0.5409962871287128,1.5618324161756156,0.010000000000000007,1784217630.3340573
5,200,1.3062603467732519,0.042160689867847594,0.6396921641791045,0.5412002487562189,1.55922448457177,0.010000000000000005,1784217724.848625
5,300,1.2998424154579442,0.042423848613502575,0.6433243355481728,0.5443573504983389,1.5543855056414178,0.009999999999999933,1784217819.3551326
6,0,1.253920078277588,0.037947602570056915,0.6796875,0.59375,1.4816056489944458,0.01,1784217903.5160806
6,100,1.258743433669062,0.0433164480520357,0.6602722772277227,0.5536045792079208,1.5186421139405506,0.010000000000000007,1784217997.9173203
6,200,1.2590939441130529,0.04343992986934102,0.662002487562189,0.5569807213930348,1.5197335208826397,0.010000000000000005,1784218092.329864
6,300,1.2575083666069562,0.04364410709849624,0.664140365448505,0.559826619601329,1.5193730054107615,0.009999999999999933,1784218186.748689
7,0,1.2337241172790527,0.039884135127067566,0.6484375,0.578125,1.4730288982391357,0.01,1784218264.3899035
7,100,1.2328115524631915,0.04451646456624021,0.6733446782178217,0.5717821782178217,1.4999103392704878,0.010000000000000007,1784218358.7826462
7,200,1.227576243343638,0.04453779104633711,0.6784048507462687,0.5750155472636815,1.4948029897699309,0.010000000000000005,1784218453.2073433
7,300,1.225975209692388,0.044658825358382094,0.6777149086378738,0.5736347591362126,1.4939281599862235,0.009999999999999933,1784218547.6474054
8,0,1.2074850797653198,0.047766223549842834,0.6796875,0.59375,1.4940824508666992,0.01,1784218631.4725583
8,100,1.1993516447520491,0.045671458844796266,0.6885829207920792,0.5787438118811881,1.4733804004027111,0.010000000000000007,1784218725.7009282
8,200,1.198681211590174,0.04549437194173016,0.6843128109452736,0.5775419776119403,1.4716474482076085,0.010000000000000005,1784218819.8655014
8,300,1.1957956869340813,0.04553271587504897,0.6862022425249169,0.5788776993355482,1.4689919849566844,0.009999999999999933,1784218914.0522313
9,0,1.2342548370361328,0.04801496863365173,0.6875,0.5390625,1.5223445892333984,0.01,1784218991.4735334
9,100,1.187961483945941,0.04583345704001955,0.692450495049505,0.5851639851485149,1.46296223201374,0.010000000000000007,1784219085.560542
