epoch,step,ce_adv,align_loss,sae_fvu,sae_dead_frac,clean_acc,adv_acc,total_loss,lr,timestamp
0,0,11.024747848510742,9.482895984547213e-05,0.06587312370538712,0.98388671875,1.0,0.0,11.024842262268066,0.01,1784300791.4337888
0,100,2.875331505690471,0.000374157805186535,0.492837806481241,0.9605724976794554,0.45126856435643564,0.11981745049504951,2.875705664700801,0.010000000000000007,1784300879.4711504
0,200,2.4953494884481477,0.00027607811371035946,0.4523964620830111,0.9563923546330846,0.4392490671641791,0.16958177860696516,2.4956255706388557,0.010000000000000005,1784300968.5997078
0,300,2.3233674420074766,0.0002097494247952705,0.40601233025375394,0.9546547316237541,0.4632734634551495,0.19850498338870431,2.32357719728717,0.009999999999999933,1784301057.8748763
1,0,1.933908224105835,5.0950347940670326e-05,0.3019685447216034,0.953369140625,0.609375,0.3203125,1.9339591264724731,0.01,1784301131.3898118
1,100,1.833292863156536,3.906631082818511e-05,0.30815152248533645,0.9517665145420792,0.5917388613861386,0.30855507425742573,1.8333319236736487,0.010000000000000007,1784301220.8500457
1,200,1.809857698815379,3.7004484497697035e-05,0.32109665633434087,0.952158154539801,0.6014070273631841,0.31382151741293535,1.809894699955461,0.010000000000000005,1784301310.3489268
1,300,1.790621209778263,3.4874127883339564e-05,0.328473532615706,0.9523674340739202,0.612515573089701,0.3202605897009967,1.7906560818618318,0.009999999999999933,1784301399.8658435
2,0,1.7049787044525146,2.7491689252201468e-05,0.3536117672920227,0.952880859375,0.671875,0.34375,1.7050062417984009,0.01,1784301480.6316624
2,100,1.6938422658655903,2.659973031066077e-05,0.38141929041041006,0.9524868502475248,0.6577196782178217,0.35867883663366334,1.69386886134006,0.010000000000000007,1784301570.6814058
2,200,1.6854711492263263,2.566974742071059e-05,0.3889975294248382,0.9530800586909204,0.6626632462686567,0.36205690298507465,1.6854968159946042,0.010000000000000005,1784301661.1522715
2,300,1.677654263981157,2.500598782602314e-05,0.3947651012989374,0.9531387886731728,0.6664244186046512,0.3629827657807309,1.677679267436563,0.009999999999999933,1784301750.9477053
3,0,1.714721441268921,2.265803050249815e-05,0.424711138010025,0.952880859375,0.65625,0.3046875,1.7147440910339355,0.01,1784301824.7419393
3,100,1.628875197750507,2.1610422240567883e-05,0.43073798642300143,0.9534223197710396,0.6889696782178217,0.3780940594059406,1.6288968124011955,0.010000000000000007,1784301914.371706
3,200,1.6222161315566865,2.1326930690162923e-05,0.4374971708551568,0.9530934196206468,0.6901819029850746,0.3829291044776119,1.6222374593440574,0.010000000000000005,1784302003.7786572
3,300,1.6162104646232833,2.1106899743565156e-05,0.4458220253553105,0.9523106571843853,0.6918864202657807,0.38452553986710963,1.6162315737765494,0.009999999999999933,1784302093.3888466
4,0,1.4659755229949951,2.0072307961527258e-05,0.46805208921432495,0.952392578125,0.734375,0.46875,1.4659955501556396,0.01,1784302174.625758
4,100,1.5710730104163142,1.9647706559937596e-05,0.4757317384280781,0.9508793896967822,0.7025061881188119,0.4031559405940594,1.57109265634329,0.010000000000000007,1784302264.905712
4,200,1.5754950135501462,1.9413280679869804e-05,0.48040300622508303,0.951288479477612,0.7020755597014925,0.4009639303482587,1.5755144250926687,0.010000000000000005,1784302355.1807766
4,300,1.569492662863874,1.9015185421342773e-05,0.48510860416580276,0.9518248092296512,0.7063174833887044,0.40303156146179403,1.5695116777356677,0.009999999999999933,1784302444.9992898
5,0,1.5845952033996582,1.719744614092633e-05,0.5297824740409851,0.956298828125,0.6953125,0.4453125,1.5846123695373535,0.01,1784302518.8397806
5,100,1.543681786792113,1.72796553039853e-05,0.5199628292333962,0.9529388729888614,0.7230043316831684,0.41545482673267325,1.5436990650573579,0.010000000000000007,1784302608.4096615
5,200,1.540819092769528,1.7310386926026387e-05,0.5236689623315536,0.9533363456156716,0.7192941542288557,0.4182991293532338,1.5408364018397545,0.010000000000000005,1784302698.0492058
5,300,1.53742541704463,1.7392944734405488e-05,0.5279442068944342,0.9532839752906976,0.7194767441860465,0.4178779069767442,1.5374428089274916,0.009999999999999933,1784302787.6523712
6,0,1.524311900138855,1.6588503058301285e-05,0.538357138633728,0.9560546875,0.7265625,0.3984375,1.5243284702301025,0.01,1784302868.6325512
6,100,1.5192454356958371,1.6030686445915173e-05,0.5433766540914479,0.9532869546720297,0.7269492574257426,0.4249690594059406,1.5192614699354265,0.010000000000000007,1784302958.1534216
6,200,1.5131826922668152,1.5752416995147807e-05,0.543327035892069,0.9531492925995025,0.7296719527363185,0.42506218905472637,1.5131984444993052,0.010000000000000005,1784303047.899659
6,300,1.5066333339855917,1.550303247775724e-05,0.5449378067670867,0.953290464078073,0.731000830564784,0.42838974252491696,1.506648838718072,0.009999999999999933,1784303137.7568493
7,0,1.4547616243362427,1.4912011465639807e-05,0.5541056990623474,0.953857421875,0.7265625,0.453125,1.4547765254974365,0.01,1784303211.7228355
7,100,1.4742050985298534,1.452760361554274e-05,0.5671148247057849,0.9537341429455446,0.7411819306930693,0.44492574257425743,1.4742196255391187,0.010000000000000007,1784303301.6890292
7,200,1.4767196919787582,1.426721366297712e-05,0.5667482116329137,0.953671583488806,0.7429648631840796,0.44076492537313433,1.4767339585432366,0.010000000000000005,1784303391.731245
7,300,1.4774295717378787,1.4191482009709793e-05,0.5686217409827781,0.9538858103197675,0.7419279485049833,0.4399138289036545,1.4774437627919093,0.009999999999999933,1784303481.7678664
8,0,1.5263811349868774,1.2726907698379364e-05,0.5976753830909729,0.95263671875,0.7109375,0.375,1.5263938903808594,0.01,1784303562.9563713
8,100,1.4543692263046113,1.3408191575358119e-05,0.5848529651613519,0.9547300433168316,0.7506188118811881,0.4439975247524752,1.4543826355792508,0.010000000000000007,1784303653.3105834
8,200,1.4484707905878476,1.331198544546137e-05,0.5827588175066668,0.9545837706001243,0.7535370024875622,0.44892723880597013,1.4484841022918473,0.010000000000000005,1784303743.5740619
8,300,1.4555339084511183,1.3383107204127522e-05,0.5843105512203964,0.9542443158222591,0.7502855066445183,0.4467140780730897,1.4555472915750802,0.009999999999999933,1784303833.6878426
9,0,1.3497345447540283,1.1738231478375383e-05,0.5628069043159485,0.953125,0.7734375,0.40625,1.3497462272644043,0.01,1784303907.8318584
9,100,1.42742126176853,1.2300420527062309e-05,0.5877004785112815,0.9544689820544554,0.7618347772277227,0.4603186881188119,1.4274335580297035,0.010000000000000007,1784303997.9460924
9,200,1.4314218344380014,1.2257756326962679e-05,0.5886027664687503,0.9546894434079602,0.7597947761194029,0.4558846393034826,1.4314340922369886,0.010000000000000005,1784304088.0687706
9,300,1.4326801759460044,1.2185578086557318e-05,0.5906893680262011,0.9546823089700996,0.7584354235880398,0.4557983803986711,1.4326923614324525,0.009999999999999933,1784304178.1993675
10,0,1.5253231525421143,1.195474760606885e-05,0.6179951429367065,0.9541015625,0.734375,0.4609375,1.5253350734710693,0.01,1784304259.8494704
10,100,1.4041223773861875,1.1270801512029433e-05,0.5989187613572224,0.9535866916769802,0.7661664603960396,0.46325804455445546,1.4041336467950651,0.010000000000000007,1784304350.2106297
10,200,1.4064706000522595,1.1160506195058891e-05,0.5979713358689304,0.9535039645522388,0.7677238805970149,0.4605488184079602,1.4064817570928316,0.010000000000000005,1784304440.3857133
10,300,1.408654118693152,1.1128733114486768e-05,0.5991071767585222,0.9534599836482558,0.7677533222591362,0.46008098006644516,1.4086652443654513,0.009999999999999933,1784304530.4941704
11,0,1.430503249168396,1.1130950952065177e-05,0.6324542760848999,0.955078125,0.7421875,0.4375,1.4305143356323242,0.01,1784304604.5681171
11,100,1.3806857330964344,1.0694142186519745e-05,0.6187880853615185,0.9523684057858911,0.7763768564356436,0.4739325495049505,1.3806964312449541,0.010000000000000007,1784304694.6049407
11,200,1.3897861847236974,1.0523672262843772e-05,0.6215136202413645,0.9518678579757462,0.771532960199005,0.46929415422885573,1.3897967125052837,0.010000000000000005,1784304784.7139196
11,300,1.3941846784959204,1.040825904708625e-05,0.627900588354003,0.9512862398774917,0.7716206395348837,0.4686980897009967,1.394195090496659,0.009999999999999933,1784304874.8791828
